프로골퍼	프로/NNG + 골퍼/NNG
개장	개장/NNG
29주년을	29/SN + 주년/NNB + 을/JKO
맞아	맞/VV + 아/EC
삼성역점(02-563-4800)과	삼성역점/NNG + (/SS + 02/SN + -/SS + 563/SN + -/SS + 4800/SN + )/SS + 과/JC
분당점(031-709-7222)에서	분당점/NNG + (/SS + 031/SN + -/SS + 709/SN + -/SS + 7222/SN + )/SS + 에서/JKB
다양한	다양/NNG + 하/XSA + ㄴ/ETM
브랜드의	브랜드/NNG + 의/JKG
초보자용	초보자/NNG + 용/XSN
아이언과	아이언/NNG + 과/JC
풀세트를	풀세트/NNG + 를/JKO
최고	최고/NNG
50%	50/SN + %/SW
할인판매하는	할인/NNG + 판매/NNG + 하/XSV + 는/ETM
등	등/NNB
세일을	세일/NNG + 을/JKO
실시한다.	실시/NNG + 하/XSV + ㄴ다/EF + ./SF

스윙분석과	스윙/NNG + 분석/NNG + 과/JC
피팅서비스도	피팅/NNG + 서비스/NNG + 도/JX
해준다.	하/VV + 아/EC + 주/VX + ㄴ다/EF + ./SF

■테일러메이드	■/SW + 테일러메이드/NNP
XR-05	XR/SL + -/SS + 05/SN
판매	판매/NNG

테일러메이드코리아는	테일러메이드코리아/NNP + 는/JX
고반발력의	고/XPN + 반발력/NNG + 의/JKG
타구면을	타구/NNG + 면/NNG + 을/JKO
최대한	최대한/NNG
넓혀	넓히/VV + 어/EC
훅이나	훅/NNG + 이나/JC
슬라이스로	슬라이스/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
비거리의	비거리/NNG + 의/JKG
손실을	손실/NNG + 을/JKO
최소화한	최소/NNG + 화/XSN + 하/XSV + ㄴ/ETM
프리미엄급	프리미엄/NNG + 급/NNG
드라이버	드라이버/NNG
XR-05를	XR/SL + -/SS + 05/SN + 를/JKO
판매한다.	판매/NNG + 하/XSV + ㄴ다/EF + ./SF

440㏄	440/SN + ㏄/SW
초대형	초/XPN + 대/NNG + 형/XSN
헤드로	헤드/NNG + 로/JKB
헤드스피드와	헤드/NNG + 스피드/NNG + 와/JC
스윙스타일에	스윙/NNG + 스타일/NNG + 에/JKB
따라	따르/VV + 아/EC
샤프트	샤프트/NNG
선택이	선택/NNG + 이/JKS
가능하다.	가능/NNG + 하/XSA + 다/EF + ./SF

125만원.	125/SN + 만/NR + 원/NNB + ./SF

(02)3415-7300	(/SS + 02/SN + )/SS + 3415/SN + -/SS + 7300/SN

■브리지스톤	■/SW + 브리지스톤/NNP
골프볼	골프/NNG + 볼/NNG
선보여	선보이/VV + 어/EC

석교상사(02-558-2235)는	석교상사/NNP + (/SS + 02/SN + -/SS + 558/SN + -/SS + 2235/SN + )/SS + 는/JX
일본	일본/NNP
브리지스톤의	브리지스톤/NNP + 의/JKG
골프볼투어스테이지	골프/NNG + 볼/NNG + 투어/NNG + 스테이지/NNG
UX를	UX/SL + 를/JKO
새로	새로/MAG
선보였다.	선보이/VV + 었/EP + 다/EF + ./SF

드라이브샷을	드라이브/NNG + 샷/NNG + 을/JKO
어퍼블로(올라가며	어퍼블로/NNG + (/SS + 올라가/VV + 며/EC
임팩트)로	임팩트/NNG + )/SS + 로/JKB
치는	치/VV + 는/ETM
상급자용으로는	상급자/NNG + 용/XSN + 으로/JKB + 는/JX
적정스핀을	적정/NNG + 스핀/NNG + 을/JKO
유지해주는	유지/NNG + 하/XSV + 아/EC + 주/VX + 는/ETM
'애로우',	'/SS + 애로우/NNG + '/SS + ,/SP
내려치는	내려치/VV + 는/ETM
스타일(다운블로)의	스타일/NNG + (/SS + 다운블로/NNG + )/SS + 의/JKG
보통	보통/NNG
골퍼용으로는	골퍼/NNG + 용/XSN + 으로/JKB + 는/JX
역스핀을	역스핀/NNG + 을/JKO
줄여	줄이/VV + 어/EC
비거리를	비거리/NNG + 를/JKO
늘려주는	늘리/VV + 어/EC + 주/VX + 는/ETM
'다이아'가	'/SS + 다이아/NNG + '/SS + 가/JKS
있다.	있/VV + 다/EF + ./SF

■휘닉스파크	■/SW + 휘닉스파크/NNP
골프장	골프장/NNG
문열어	문/NNG + 열/VV + 어/EC

강원도	강원도/NNP
평창	평창/NNP
휘닉스파크	휘닉스파크/NNP
골프장이	골프장/NNG + 이/JKS
22일	22/SN + 일/NNB
문을	문/NNG + 을/JKO
열었다.	열/VV + 었/EP + 다/EF + ./SF

건너편	건너편/NNG
스키장은	스키장/NNG + 은/JX
4월	4/SN + 월/NNB
6일까지	6/SN + 일/NNB + 까지/JX
운영할	운영/NNG + 하/XSV + ㄹ/ETM
예정이어서	예정/NNG + 이/VCP + 어서/EC
스키와	스키/NNG + 와/JC
골프를	골프/NNG + 를/JKO
동시에	동시/NNG + 에/JKB
즐길	즐기/VV + ㄹ/ETM
기회다.	기회/NNG + 이/VCP + 다/EF + ./SF

주말에는	주말/NNG + 에/JKB + 는/JX
야간스키도	야간/NNG + 스키/NNG + 도/JX
탈	타/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

■기가골프	■/SW + 기가골프/NNP
새	새/MM
드라이버	드라이버/NNG
시판	시판/NNG

(주)기가골프는	(/SS + 주/NNG + )/SS + 기가골프/NNP + 는/JX
'기가	'/SS + 기가/NNP
딤플파워'	딤플/NNG + 파워/NNG + '/SS
드라이버를	드라이버/NNG + 를/JKO
새로	새로/MAG
내놓았다.	내놓/VV + 았/EP + 다/EF + ./SF

토와	토/NNG + 와/JC
힐에	힐/NNG + 에/JKB
볼의	볼/NNG + 의/JKG
딤플과	딤플/NNG + 과/JKB
같은	같/VA + 은/ETM
모양을	모양/NNG + 을/JKO
내	내/VV + 어/EC
공명과	공명/XR + 과/JC
반발력	반발력/NNG
극대화를	극대/NNG + 화/XSN + 를/JKO
꾀했다.	꾀하/VV + 았/EP + 다/EF + ./SF

일반	일반/NNG
티타늄보다	티타늄/NNG + 보다/JKB
강한	강/XR + 하/XSA + ㄴ/ETM
침상섬유구조의	침상/NNG + 섬유/NNG + 구조/NNG + 의/JKG
2.2㎜	2/SN + ./SP + 2/SN + ㎜/SW
파이버	파이버/NNG
티탄	티탄/NNG
페이스를	페이스/NNG + 를/JKO
채택,	채택/NNG + ,/SP
타구감과	타구감/NNG + 과/JC
비거리를	비거리/NNG + 를/JKO
향상시켰다는	향상/NNG + 시키/XSV + 었/EP + 다는/ETM
설명.	설명/NNG + ./SF

350cc와	350/SN + cc/SL + 와/JC
330cc	330/SN + cc/SL
두	두/MM
종류.	종류/NNG + ./SF

(02)794-3669	(/SS + 02/SN + )/SS + 794/SN + -/SS + 3669/SN

*연장서	*/SW + 연장/NNG + 서/JKB
머티스	머티스/NNP
제쳐…왼손잡이	제치/VV + 어/EC + …/SE + 왼손잡이/NNG
첫	첫/MM
챔피언	챔피언/NNG

*최경주,	*/SW + 최경주/NNP + ,/SP
우즈와	우즈/NNP + 와/JKB
공동	공동/NNG
15위	15/SN + 위/NNB
'톱스타'	'/SS + 톱스타/NNG + '/SS
대열에	대열/NNG + 에/JKB

14일(한국시각)	14/SN + 일/NNB + (/SS + 한국/NNP + 시각/NNG + )/SS
미국	미국/NNP
조지아주	조지아주/NNP
오거스타의	오거스타/NNP + 의/JKG
오거스타내셔널골프클럽.	오거스타/NNP + 내셔널/NNG + 골프/NNG + 클럽/NNG + ./SF

마스터스	마스터스/NNG
토너먼트의	토너먼트/NNG + 의/JKG
마지막	마지막/NNG
조가	조/NNG + 가/JKS
18번홀(파4)	18/SN + 번/NNB + 홀/NNG + (/SS + 파/NNG + 4/SN + )/SS
그린에	그린/NNG + 에/JKB
올라왔다.	올라오/VV + 았/EP + 다/EF + ./SF

그	그/MM
얼굴은	얼굴/NNG + 은/JX
3연속	3/SN + 연속/NNG
우승을	우승/NNG + 을/JKO
노리는	노리/VV + 는/ETM
타이거	타이거/NNP
우즈(28)도,	우즈/NNP + (/SS + 28/SN + )/SS + 도/JX + ,/SP
메이저	메이저/NNP
무관의	무관/NNG + 의/JKG
한을	한/NNG + 을/JKO
풀려는	풀/VV + 려는/ETM
필	필/NNP
미켈슨(33)도	미켈슨/NNP + (/SS + 33/SN + )/SS + 도/JX
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

캐나다의	캐나다/NNP + 의/JKG
왼손잡이	왼손잡이/NNG
마이크	마이크/NNG
위어(33)와	위어/NNP + (/SS + 33/SN + )/SS + 와/JC
제프	제프/NNP
매거트(39).	매거트/NNP + (/SS + 39/SN + )/SS + ./SF

전날	전날/NNG
선두	선두/NNG
매거트는	매거트/NNP + 는/JX
이미	이미/MAG
우승권에서	우승/NNG + 권/XSN + 에서/JKB
멀어졌고,	멀/VA + 어/EC + 지/VX + 었/EP + 고/EC + ,/SP
모두의	모두/NNG + 의/JKG
관심은	관심/NNG + 은/JX
7언더파로	7/SN + 언더/NNG + 파/NNG + 로/JKB
공동선두인	공동/NNG + 선두/NNG + 이/VCP + ㄴ/ETM
위어에게	위어/NNP + 에게/JKB
쏠렸다.	쏠리/VV + 었/EP + 다/EF + ./SF

▶관련기사	▶/SW + 관련/NNG + 기사/NNG
C3면	C/SL + 3/SN + 면/NNG

통산	통산/NNG
2승의	2/SN + 승/NNB + 의/JKG
렌	렌/NNP
머티스(36)는	머티스/NNP + (/SS + 36/SN + )/SS + 는/JX
이날	이날/NNG
7언더파	7/SN + 언더/NNG + 파/NNG
65타의	65/SN + 타/NNG + 의/JKG
믿기	믿/VV + 기/ETN
어려운	어렵/VA + ㄴ/ETM
스코어로	스코어/NNG + 로/JKB
경기를	경기/NNG + 를/JKO
끝내고	끝내/VV + 고/EC
연장전을	연장전/NNG + 을/JKO
준비하고	준비/NNG + 하/XSV + 고/EC
있었고	있/VX + 었/EP + 고/EC
위어의	위어/NNP + 의/JKG
볼은	볼/NNG + 은/JX
홀에서	홀/NNG + 에서/JKB
한참	한참/NNG
떨어진	떨어지/VV + ㄴ/ETM
곳에	곳/NNG + 에/JKB
있었다.	있/VV + 었/EP + 다/EF + ./SF

버디면	버디/NNG + 이/VCP + 면/EC
우승,	우승/NNG + ,/SP
파를	파/NNG + 를/JKO
하면	하/VV + 면/EC
연장전.	연장전/NNG + ./SF

하지만	하지만/MAJ
그의	그/NP + 의/JKG
버디	버디/NNG
퍼트는	퍼트/NNG + 는/JX
짧아	짧/VA + 아/EC
약	약/MM
1.9ｍ	1/SN + ./SP + 9/SN + ｍ/SW
앞에	앞/NNG + 에/JKB
멈췄다.	멈추/VV + 었/EP + 다/EF + ./SF

이	이/MM
퍼트에	퍼트/NNG + 에/JKB
실패하면	실패/NNG + 하/XSV + 면/EC
우승은	우승/NNG + 은/JX
머티스의	머티스/NNP + 의/JKG
것.	것/NNB + ./SF

위어는	위어/NNP + 는/JX
지난	지나/VV + ㄴ/ETM
몇	몇/MM
홀에서와	홀/NNG + 에서/JKB + 와/JKB
마찬가지로	마찬가지/NNG + 로/JKB
침착하게	침착/NNG + 하/XSA + 게/EC
퍼트를	퍼트/NNG + 를/JKO
했고,	하/VV + 았/EP + 고/EC + ,/SP
볼은	볼/NNG + 은/JX
홀에	홀/NNG + 에/JKB
굴러	구르/VV + 어/EC
떨어졌다.	떨어지/VV + 었/EP + 다/EF + ./SF

위어가	위어/NNP + 가/JKS
"아주	"/SS + 아주/MAG
어려운	어렵/VA + ㄴ/ETM
퍼트였고	퍼트/NNG + 이/VCP + 었/EP + 고/EC
성공해서	성공/NNG + 하/XSV + 아서/EC
너무	너무/MAG
기뻤다"고	기쁘/VA + 었/EP + 다/EF + "/SS + 고/JKQ
승부처로	승부처/NNG + 로/JKB
꼽은결정적인	꼽/VV + 은/ETM + 결정/NNG + 적/XSN + 이/VCP + ㄴ/ETM
1타였다.	1/SN + 타/NNG + 이/VCP + 었/EP + 다/EF + ./SF

이어진	이어지/VV + ㄴ/ETM
10번홀(파4)	10/SN + 번/NNB + 홀/NNG + (/SS + 파/NNG + 4/SN + )/SS
연장전에서	연장전/NNG + 에서/JKB
머티스가	머티스/NNP + 가/JKS
두	두/MM
번째	번/NNB + 째/XSN
샷	샷/NNG
온그린에	온그린/NNG + 에/JKB
실패하면서	실패/NNG + 하/XSV + 면서/EC
더블보기를	더블/NNG + 보기/NNG + 를/JKO
하는	하/VV + 는/ETM
바람에	바람/NNB + 에/JKB
위어는	위어/NNP + 는/JX
3퍼트로	3/SN + 퍼트/NNG + 로/JKB
보기를	보기/NNG + 를/JKO
하고도	하/VV + 고/EC + 도/JX
첫	첫/MM
번째	번/NNB + 째/XSN
메이저타이틀을	메이저/NNG + 타이틀/NNG + 을/JKO
마스터스에서	마스터스/NNG + 에서/JKB
따내는	따/VV + 아/EC + 내/VX + 는/ETM
영광을	영광/NNG + 을/JKO
안았다.	안/VV + 았/EP + 다/EF + ./SF

상금은	상금/NNG + 은/JX
108만달러.	108/SN + 만/NR + 달러/NNB + ./SF

장타가	장타/NNG + 가/JKS
유리할	유리/NNG + 하/XSA + ㄹ/ETM
것이란	것/NNB + 이/VCP + 란/ETM
예상과	예상/NNG + 과/JKB
달리	달리/MAG
마스터스의	마스터스/NNG + 의/JKG
승부는	승부/NNG + 는/JX
쇼트게임과	쇼트/NNG + 게임/NNG + 과/JC
집중력을	집중력/NNG + 을/JKO
잃지	잃/VV + 지/EC
않는	않/VX + 는/ETM
마인드게임에서	마인드/NNG + 게임/NNG + 에서/JKB
갈렸다.	갈리/VV + 었/EP + 다/EF + ./SF

위어는	위어/NNP + 는/JX
드라이브	드라이브/NNG
평균거리	평균/NNG + 거리/NNG
271야드	271/SN + 야드/NNG
정도의	정도/NNG + 의/JKG
'중간급'이지만	'/SS + 중간/NNG + 급/NNG + '/SS + 이/VCP + 지만/EC
2ｍ	2/SN + ｍ/SW
안팎의	안팎/NNG + 의/JKG
파	파/NNG
퍼트를	퍼트/NNG + 를/JKO
하나도	하나/NR + 도/JX
놓치지	놓치/VV + 지/EC
않고	않/VX + 고/EC
보기	보기/NNG
없이	없이/MAG
끝냄으로써	끝내/VV + ㅁ/ETN + 으로써/JKB
첫	첫/MM
그린재킷을	그린/NNG + 재킷/NNG + 을/JKO
입을	입/VV + 을/ETM
수	수/NNB
있었다.	있/VV + 었/EP + 다/EF + ./SF

타이거	타이거/NNP
우즈(28)는	우즈/NNP + (/SS + 28/SN + )/SS + 는/JX
330야드	330/SN + 야드/NNG
정도인	정도/NNG + 이/VCP + ㄴ/ETM
3번홀(파4)을	3/SN + 번/NNB + 홀/NNG + (/SS + 파/NNG + 4/SN + )/SS + 을/JKO
드라이버	드라이버/NNG
샷으로	샷/NNG + 으로/JKB
온그린하려다	온그린/NNG + 하/XSV + 려다/EC
숲에	숲/NNG + 에/JKB
들어가는	들어가/VV + 는/ETM
바람에	바람/NNB + 에/JKB
더블보기로	더블/NNG + 보기/NNG + 로/JKB
발목을	발목/NNG + 을/JKO
잡혀	잡히/VV + 어/EC
3오버파	3/SN + 오버/NNG + 파/NNG
75타를	75/SN + 타/NNG + 를/JKO
쳐	치/VV + 어/EC
3연속	3/SN + 연속/NNG
우승의	우승/NNG + 의/JKG
야망을	야망/NNG + 을/JKO
일찌감치	일찌감치/MAG
접고,	접/VV + 고/EC + ,/SP
첫	첫/MM
출전한	출전/NNG + 하/XSV + ㄴ/ETM
최경주(33·슈페리어)와	최경주/NNP + (/SS + 33/SN + ·/SP + 슈페리어/NNP + )/SS + 와/JKB
나란히	나란히/MAG
공동	공동/NNG
15위(2오버파)로	15/SN + 위/NNB + (/SS + 2/SN + 오버/NNG + 파/NNG + )/SS + 로/JKB
마감했다.	마감/NNG + 하/XSV + 았/EP + 다/EF + ./SF

최경주는	최경주/NNP + 는/JX
2004년	2004/SN + 년/NNB
출전권을	출전/NNG + 권/XSN + 을/JKO
덤으로	덤/NNG + 으로/JKB
얻었다.	얻/VV + 었/EP + 다/EF + ./SF

<표>◇마스터스	</SS + 표/NNG + >/SS + ◇/SW + 마스터스/NNG
최종순위	최종/NNG + 순위/NNG

*한국	*/SW + 한국/NNP
공격진·일본	공격진/NNG + ·/SP + 일본/NNP
수비라인	수비/NNG + 라인/NNG
탄탄	탄탄/XR
내일	내일/NNG
결전…대표팀	결전/NNG + …/SE + 대표/NNG + 팀/NNG
파주서	파주/NNP + 서/JKB
훈련	훈련/NNG

'영원한	'/SS + 영원/NNG + 하/XSA + ㄴ/ETM
맞수의	맞수/NNG + 의/JKG
대결'.	대결/NNG + '/SS + ./SF

축구	축구/NNG
한·일전을	한/NNP + ·/SP + 일/NNP + 전/NNG + 을/JKO
이틀	이틀/NNG
앞둔	앞두/VV + ㄴ/ETM
14일	14/SN + 일/NNB
오후	오후/NNG
4시30분	4/SN + 시/NNB + 30/SN + 분/NNB
파주트레이닝센터엔	파주트레이닝센터/NNP + 에/JKB + ㄴ/JX
긴장감이	긴장감/NNG + 이/JKS
감돌았다.	감돌/VV + 았/EP + 다/EF + ./SF

따스한	따스/XR + 하/XSA + ㄴ/ETM
햇살이	햇살/NNG + 이/JKS
파란	파랗/VA + ㄴ/ETM
잔디	잔디/NNG
위로	위/NNG + 로/JKB
쏟아지는	쏟아지/VV + 는/ETM
봄날이었지만	봄날/NNG + 이/VCP + 었/EP + 지만/EC
훈련을	훈련/NNG + 을/JKO
시작하는	시작/NNG + 하/XSV + 는/ETM
코엘류	코엘류/NNP
축구대표팀	축구/NNG + 대표/NNG + 팀/NNG
감독과	감독/NNG + 과/JC
대표선수들의	대표/NNG + 선수/NNG + 들/XSN + 의/JKG
표정에서는	표정/NNG + 에서/JKB + 는/JX
결연함마저	결연/XR + 하/XSA + ㅁ/ETN + 마저/JX
느껴졌다.	느끼/VV + 어/EC + 지/VX + 었/EP + 다/EF + ./SF

16일	16/SN + 일/NNB
오후	오후/NNG
7시	7/SN + 시/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP + 에서/JKB
열리는	열리/VV + 는/ETM
한·일전은	한/NNP + ·/SP + 일/NNP + 전/NNG + 은/JX
양국	양국/NNG
모두	모두/MAG
유럽에서	유럽/NNP + 에서/JKB
뛰고	뛰/VV + 고/EC
있는	있/VX + 는/ETM
선수들을	선수/NNG + 들/XSN + 을/JKO
부르지	부르/VV + 지/EC
않아	않/VX + 아/EC
'1.5군의	'/SS + 1/SN + ./SP + 5/SN + 군/NNB + 의/JKG
대결'로	대결/NNG + '/SS + 로/JKB
불리지만	불리/VV + 지만/EC
선수들의	선수/NNG + 들/XSN + 의/JKG
각오는	각오/NNG + 는/JX
대단했다.	대단/XR + 하/XSA + 았/EP + 다/EF + ./SF

대표팀	대표/NNG + 팀/NNG
주장	주장/NNG
유상철은	유상철/NNP + 은/JX
"3년	"/SS + 3/SN + 년/NNB
만의	만/NNB + 의/JKG
한·일전이라	한/NNP + ·/SP + 일/NNP + 전/NNG + 이/VCP + 라/EC
감회가	감회/NNG + 가/JKS
새롭다"며	새롭/VA + 다/EF + "/SS + 며/EC
"그	"/SS + 그/MM
동안	동안/NNG
일본도	일본/NNP + 도/JX
많이	많이/MAG
발전했지만	발전/NNG + 하/XSV + 았/EP + 지만/EC
한국은	한국/NNP + 은/JX
그	그/MM
못지	못/MAG + 하/XSA + 지/EC
않게	않/VX + 게/EC
성장했기	성장/NNG + 하/XSV + 았/EP + 기/ETN
때문에	때문/NNB + 에/JKB
꼭	꼭/MAG
이기겠다"고	이기/VV + 겠/EP + 다/EF + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
한·일전에서	한/NNP + ·/SP + 일/NNP + 전/NNG + 에서/JKB
골을	골/NNG + 을/JKO
넣었던	넣/VV + 었/EP + 던/ETM
안정환은	안정환/NNP + 은/JX
"일본	"/SS + 일본/NNP
미드필드진이	미드필드진/NNG + 이/JKS
강하지	강/XR + 하/XSA + 지/EC
않기	않/VX + 기/ETN
때문에	때문/NNB + 에/JKB
적극적으로	적극/NNG + 적/XSN + 으로/JKB
공격에	공격/NNG + 에/JKB
나서겠다"고	나서/VV + 겠/EP + 다/EF + "/SS + 고/JKQ
각오를	각오/NNG + 를/JKO
다졌다.	다지/VV + 었/EP + 다/EF + ./SF

코엘류	코엘류/NNP
감독은	감독/NNG + 은/JX
"한·일전에	"/SS + 한/NNP + ·/SP + 일/NNP + 전/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
국민들의	국민/NNG + 들/XSN + 의/JKG
기대를	기대/NNG + 를/JKO
잘	잘/MAG
알고	알/VV + 고/EC
있다"며	있/VX + 다/EC + "/SS + 며/EC
"훈련	"/SS + 훈련/NNG
시간이	시간/NNG + 이/JKS
짧지만	짧/VA + 지만/EC
최상의	최상/NNG + 의/JKG
준비를	준비/NNG + 를/JKO
하도록	하/VV + 도록/EC
노력하겠다"고	노력/NNG + 하/XSV + 겠/EP + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

한국대표팀은	한국/NNP + 대표/NNG + 팀/NNG + 은/JX
달리기와	달리기/NNG + 와/JC
스트레칭으로	스트레칭/NNG + 으로/JKB
가볍게	가볍/VA + 게/EC
몸을	몸/NNG + 을/JKO
푼	풀/VV + ㄴ/ETM
뒤	뒤/NNG
슈팅훈련에	슈팅/NNG + 훈련/NNG + 에/JKB
들어갔다.	들어가/VV + 았/EP + 다/EF + ./SF

한국은	한국/NNP + 은/JX
콜롬비아전에서	콜롬비아전/NNG + 에서/JKB
구사했던	구사/NNG + 하/XSV + 았/EP + 던/ETM
4-2-3-1	4/SN + -/SS + 2/SN + -/SS + 3/SN + -/SS + 1/SN
포메이션을	포메이션/NNG + 을/JKO
그대로	그대로/MAG
사용하며	사용/NNG + 하/XSV + 며/EC
홈	홈/NNG
경기인	경기/NNG + 이/VCP + ㄴ/ETM
만큼	만큼/NNB
공격에	공격/NNG + 에/JKB
비중을	비중/NNG + 을/JKO
둔다는	두/VV + ㄴ다는/ETM
계획이다.	계획/NNG + 이/VCP + 다/EF + ./SF

이용수	이용수/NNP
전	전/MM
축구협회기술위원장은	축구/NNG + 협회/NNG + 기술/NNG + 위원장/NNG + 은/JX
한국과	한국/NNP + 과/JC
일본의	일본/NNP + 의/JKG
경기를	경기/NNG + 를/JKO
'창과	'/SS + 창/NNG + 과/JC
방패의	방패/NNG + 의/JKG
대결'로	대결/NNG + '/SS + 로/JKB
예측했다.	예측/NNG + 하/XSV + 았/EP + 다/EF + ./SF

일본은	일본/NNP + 은/JX
핫토리와	핫토리/NNP + 와/JC
모리오카,	모리오카/NNP + ,/SP
아키타,	아키타/NNP + ,/SP
나라하시로	나라하시로/NNP
이어지는	이어지/VV + 는/ETM
포백(4	포백/NNG + (/SS + 4/SN
back)	back/SL + )/SS
라인이	라인/NNG + 이/JKS
건재한	건재/NNG + 하/XSA + ㄴ/ETM
반면,	반면/NNG + ,/SP
한국은	한국/NNP + 은/JX
안정환과	안정환/NNP + 과/JC
이천수,	이천수/NNP + ,/SP
이동국이	이동국/NNP + 이/JKS
포진하는	포진/NNG + 하/XSV + 는/ETM
공격진이	공격진/NNG + 이/JKS
상대적으로	상대/NNG + 적/XSN + 으로/JKB
강하다는	강/XR + 하/XSA + 다는/ETM
분석이다.	분석/NNG + 이/VCP + 다/EF + ./SF

일본대표팀은	일본/NNP + 대표/NNG + 팀/NNG + 은/JX
이날	이날/NNG
오후	오후/NNG
인천	인천/NNP
국제공항을	국제공항/NNG + 을/JKO
통해	통하/VV + 아/EC
입국한	입국/NNG + 하/XSV + ㄴ/ETM
뒤	뒤/NNG
서울월드컵경기장	서울월드컵경기장/NNP
보조경기장에서	보조/NNG + 경기장/NNG + 에서/JKB
한	한/MM
시간	시간/NNG
남짓	남짓/NNB
몸을	몸/NNG + 을/JKO
풀었다.	풀/VV + 었/EP + 다/EF + ./SF

일본	일본/NNP
지코	지/NNG + 하/XSV + 고/EC
감독은	감독/NNG + 은/JX
"한국과	"/SS + 한국/NNP + 과/JC
일본은	일본/NNP + 은/JX
독일월드컵	독일/NNP + 월드컵/NNG
예선에서	예선/NNG + 에서/JKB
만날	만나/VV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높다"며	높/VA + 다/EC + "/SS + 며/EC
"탐색전	"/SS + 탐색전/NNG
성격을	성격/NNG + 을/JKO
갖는	갖/VV + 는/ETM
이번	이번/NNG
경기에서	경기/NNG + 에서/JKB
반드시	반드시/MAG
승리하겠다"고	승리/NNG + 하/XSV + 겠/EP + 다/EF + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

*92대85로	*/SW + 92/SN + 대/NNB + 85/SN + 로/JKB
샌	샌/NNP
안토니오	안토니오/NNP
꺾고	꺾/VV + 고/EC
8위	8/SN + 위/NNB
확정	확정/NNG

피닉스	피닉스/NNP
선스가	선스/NNP + 가/JKS
02~03시즌	02/SN + ~/SO + 03/SN + 시즌/NNG
미	미/NNP
프로농구(NBA)	프로/NNG + 농구/NNG + (/SS + NBA/SL + )/SS
8강	8/SN + 강/NNG
플레이오프의	플레이오프/NNG + 의/JKG
마지막	마지막/NNG
티켓을	티켓/NNG + 을/JKO
따냈다.	따/VV + 아/EC + 내/VX + 었/EP + 다/EF + ./SF

서부	서부/NNG
콘퍼런스	콘퍼런스/NNG
8위	8/SN + 위/NNB
선스는	선스/NNP + 는/JX
14일(한국시각)	14/SN + 일/NNB + (/SS + 한국/NNP + 시각/NNG + )/SS
홈	홈/NNG
경기서	경기/NNG + 서/JKB
11연승	11/SN + 연승/NNG
행진	행진/NNG
중이던	중/NNB + 이/VCP + 던/ETM
샌	샌/NNP
안토니오	안토니오/NNP
스퍼스를	스퍼스/NNP + 를/JKO
92대85로	92/SN + 대/NNB + 85/SN + 로/JKB
물리치면서	물리치/VV + 면서/EC
44승36패를	44/SN + 승/NNG + 36/SN + 패/NNG + 를/JKO
기록,	기록/NNG + ,/SP
9위	9/SN + 위/NNB
휴스턴	휴스턴/NNP
로키츠(41승39패)를	로키츠/NNP + (/SS + 41/SN + 승/NNG + 39/SN + 패/NNG + )/SS + 를/JKO
3경기차로	3/SN + 경기/NNG + 차/NNG + 로/JKB
앞섰다.	앞서/VV + 었/EP + 다/EF + ./SF

선스는	선스/NNP + 는/JX
4연승하면서	4/SN + 연승/NNG + 하/XSV + 면서/EC
남은	남/VV + 은/ETM
두	두/MM
경기	경기/NNG
결과에	결과/NNG + 에/JKB
관계없이	관계없이/MAG
로키츠를	로키츠/NNP + 를/JKO
따돌리고	따돌리/VV + 고/EC
두	두/MM
시즌	시즌/NNG
만에	만/NNB + 에/JKB
다시	다시/MAG
플레이오프	플레이오프/NNG
무대를	무대/NNG + 를/JKO
밟았다.	밟/VV + 았/EP + 다/EF + ./SF

스퍼스	스퍼스/NNP
승리의	승리/NNG + 의/JKG
주역은	주역/NNG + 은/JX
션	션/NNP
매리언(24점)과	매리언/NNP + (/SS + 24/SN + 점/NNB + )/SS + 과/JC
스테픈	스테픈/NNP
마베리(23점	마베리/NNP + (/SS + 23/SN + 점/NNB
10어시스트).	10/SN + 어시스트/NNG + )/SS + ./SF

조	조/NNP
존슨(20점)은	존슨/NNP + (/SS + 20/SN + 점/NNB + )/SS + 은/JX
3쿼터에	3/SN + 쿼터/NNG + 에/JKB
11점을	11/SN + 점/NNB + 을/JKO
몰아넣어	몰아넣/VV + 어/EC
승세를	승세/NNG + 를/JKO
굳혔다.	굳히/VV + 었/EP + 다/EF + ./SF

또	또/MAG
상대팀	상대/NNG + 팀/NNG
주포	주포/NNG
팀	팀/NNG
던컨(15점	던컨/NNP + (/SS + 15/SN + 점/NNB
7리바운드	7/SN + 리바운드/NNG
6어시스트)이	6/SN + 어시스트/NNG + )/SS + 이/JKS
