러시아의	러시아/NNP + 의/JKG
공장	공장/NNG
가까이에	가까이/NNG + 에/JKB
자라고	자라/VV + 고/EC
있고,	있/VX + 고/EC + ,/SP
또	또/MAG
공장	공장/NNG
주변의	주변/NNG + 의/JKG
빈약한	빈약/NNG + 하/XSA + ㄴ/ETM
식물군락	식물/NNG + 군락/NNG
속에서	속/NNG + 에서/JKB
다른	다른/MM
종보다	종/NNG + 보다/JKB
크게	크/VA + 게/EC
자란다.	자라/VV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
과학자들은	과학자/NNG + 들/XSN + 은/JX
이런	이런/MM
내성종의	내성종/NNG + 의/JKG
선발에	선발/NNG + 에/JKB
온	온/MM
힘을	힘/NNG + 을/JKO
기울인다.	기울이/VV + ㄴ다/EF + ./SF

대도시	대/XPN + 도시/NNG
주변에	주변/NNG + 에/JKB
내리는	내리/VV + 는/ETM
산성비는	산성비/NNG + 는/JX
식물을	식물/NNG + 을/JKO
쇠약하게	쇠약/NNG + 하/XSA + 게/EC
할	하/VX + ㄹ/ETM
뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
토양을	토양/NNG + 을/JKO
메마르게	메마르/VA + 게/EC
하고	하/VX + 고/EC
또	또/MAG
그	그/MM
속의	속/NNG + 의/JKG
알루미늄을	알루미늄/NNG + 을/JKO
증가시킨다.	증가/NNG + 시키/XSV + ㄴ다/EF + ./SF

산성비나	산성비/NNG + 나/JC
알루미늄에	알루미늄/NNG + 에/JKB
대해서	대하/VV + 아서/EC
어떤	어떤/MM
식물은	식물/NNG + 은/JX
약하고(소나무류)	약하/VA + 고/EC + (/SS + 소나무/NNG + 류/XSN + )/SS
어떤	어떤/MM
식물은	식물/NNG + 은/JX
잘	잘/MAG
견딘다(참나무류).	견디/VV + ㄴ다/EC + (/SS + 참나무/NNG + 류/XSN + )/SS + ./SF

식물은	식물/NNG + 은/JX
단기간에	단기간/NNG + 에/JKB
산성비를	산성비/NNG + 를/JKO
맞으면	맞/VV + 으면/EC
피해가	피해/NNG + 가/JKS
나타나지	나타나/VV + 지/EC
않지만	않/VX + 지만/EC
뿌리에	뿌리/NNG + 에/JKB
알루미늄이	알루미늄/NNG + 이/JKS
약간이라도	약간/NNG + 이/VCP + 라도/EC
닿으면	닿/VV + 으면/EC
큰	크/VA + ㄴ/ETM
피해를	피해/NNG + 를/JKO
받는다.	받/VV + 는다/EF + ./SF

식물	식물/NNG
중에는	중/NNB + 에/JKB + 는/JX
알루미늄에	알루미늄/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
내성종과	내성종/NNG + 과/JC
예민종이	예민종/NNG + 이/JKS
있고	있/VV + 고/EC
또	또/MAG
개체에	개체/NNG + 에/JKB
따라	따르/VV + 아/EC
내성개체와	내성/NNG + 개체/NNG + 와/JC
예민개체의	예민/XR + 개체/NNG + 의/JKG
변이가	변이/NNG + 가/JKS
나타난다.	나타나/VV + ㄴ다/EF + ./SF

식물의	식물/NNG + 의/JKG
알루미늄에	알루미늄/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
내성은	내성/NNG + 은/JX
씨에서	씨/NNG + 에서/JKB
싹튼	싹트/VV + ㄴ/ETM
어린	어리/VA + ㄴ/ETM
식물을	식물/NNG + 을/JKO
특수한	특수/NNG + 하/XSA + ㄴ/ETM
물감으로	물감/NNG + 으로/JKB
염색해	염색/NNG + 하/XSV + 아/EC
보면	보/VX + 면/EC
쉽게	쉽/VA + 게/EC
선별할	선별/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

따라서	따라서/MAJ
오랫동안	오랫동안/NNG
산성비를	산성비/NNG + 를/JKO
맞아서	맞/VV + 아서/EC
죽어	죽/VV + 어/EC
가는	가/VX + 는/ETM
토양에	토양/NNG + 에/JKB
선발된	선발/NNG + 되/XSV + ㄴ/ETM
알루미늄	알루미늄/NNG
내성식물을	내성/NNG + 식물/NNG + 을/JKO
심으면	심/VV + 으면/EC
도시	도시/NNG
주변에서도	주변/NNG + 에서/JKB + 도/JX
푸른	푸르/VA + ㄴ/ETM
숲을	숲/NNG + 을/JKO
볼	보/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

그리고	그리고/MAJ
땅	땅/NNG
속	속/NNG
깊은	깊/VA + 은/ETM
곳에서	곳/NNG + 에서/JKB
파낸	파내/VV + ㄴ/ETM
폐광산의	폐/XPN + 광산/NNG + 의/JKG
흙	흙/NNG
속에는	속/NNG + 에/JKB + 는/JX
식물과	식물/NNG + 과/JKB
공생하는	공생/NNG + 하/XSV + 는/ETM
이로운	이롭/VA + ㄴ/ETM
세균이나	세균/NNG + 이나/JC
균근이	균근/NNG + 이/JKS
들어	들/VV + 어/EC
있지	있/VX + 지/EC
않으므로	않/VX + 으므로/EC
공생균을	공생균/NNG + 을/JKO
접종한	접종/NNG + 하/XSV + ㄴ/ETM
식물(물오리나무,	식물/NNG + (/SS + 물오리나무/NNG + ,/SP
보리수나무	보리수나무/NNG
등)을	등/NNB + )/SS + 을/JKO
심거나	심/VV + 거나/EC
균근을	균근/NNG + 을/JKO
접종하여	접종/NNG + 하/XSV + 아/EC
광산지역을	광산/NNG + 지역/NNG + 을/JKO
녹화시키는	녹화/NNG + 시키/XSV + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

한편	한편/MAG
식수로	식수/NNG + 로/JKB
이용하는	이용/NNG + 하/XSV + 는/ETM
상수원의	상수원/NNG + 의/JKG
만입부에	만입부/NNG + 에/JKB
잠긴	잠기/VV + ㄴ/ETM
물은	물/NNG + 은/JX
부영양화되기	부영양화/NNG + 되/XSV + 기/ETN
쉽다.	쉽/VA + 다/EF + ./SF

이런	이런/MM
곳에	곳/NNG + 에/JKB
번식력이	번식력/NNG + 이/JKS
왕성한	왕성/NNG + 하/XSA + ㄴ/ETM
부레옥잠을	부레옥잠/NNG + 을/JKO
띄워	띄우/VV + 어/EC
놓으면	놓/VX + 으면/EC
물	물/NNG
속의	속/NNG + 의/JKG
영양소를	영양소/NNG + 를/JKO
흡수해	흡수/NNG + 하/XSV + 아/EC
무성하게	무성/XR + 하/XSA + 게/EC
자란다.	자라/VV + ㄴ다/EF + ./SF

부레옥잠을	부레옥잠/NNG + 을/JKO
일부만	일부/NNG + 만/JX
남겨	남기/VV + 어/EC
놓고	놓/VX + 고/EC
건져내면	건지/VV + 어/EC + 내/VX + 면/EC
다시	다시/MAG
증식하여	증식/NNG + 하/XSV + 아/EC
만입부의	만입부/NNG + 의/JKG
물이	물/NNG + 이/JKS
계속	계속/MAG
깨끗하다.	깨끗/XR + 하/XSA + 다/EF + ./SF

그리고	그리고/MAJ
상수원	상수원/NNG
저수지의	저수지/NNG + 의/JKG
변두리에서	변두리/NNG + 에서/JKB
자라는	자라/VV + 는/ETM
물풀(줄,	물풀/NNG + (/SS + 줄/NNG + ,/SP
부들	부들/NNG
등)은	등/NNB + )/SS + 은/JX
여름에	여름/NNG + 에/JKB
물	물/NNG
속의	속/NNG + 의/JKG
영양소를	영양소/NNG + 를/JKO
흡수해	흡수/NNG + 하/XSV + 아/EC
자라므로	자라/VV + 므로/EC
가을에	가을/NNG + 에/JKB
시들기	시들/VV + 기/ETN
전에	전/NNG + 에/JKB
베어내	베/VV + 어/EC + 내/VX + 어/EC
물의	물/NNG + 의/JKG
부영양화를	부영양화/NNG + 를/JKO
감소시킨다.	감소/NNG + 시키/XSV + ㄴ다/EF + ./SF

현재	현재/MAG
지구	지구/NNG
상의	상/NNG + 의/JKG
생물은	생물/NNG + 은/JX
35억년의	35/SN + 억/NR + 년/NNB + 의/JKG
긴	길/VA + ㄴ/ETM
세월에	세월/NNG + 에/JKB
걸쳐	걸치/VV + 어/EC
진화해	진화/NNG + 하/XSV + 아/EC
왔는데	오/VX + 았/EP + 는데/EC
겨우	겨우/MAG
지난	지나/VV + ㄴ/ETM
50년의	50/SN + 년/NNB + 의/JKG
짧은	짧/VA + 은/ETM
기간에	기간/NNG + 에/JKB
깊은	깊/VA + 은/ETM
상처를	상처/NNG + 를/JKO
받았고	받/VV + 았/EP + 고/EC
앞으로	앞/NNG + 으로/JKB
더욱	더욱/MAG
그	그/MM
피해가	피해/NNG + 가/JKS
커질	커지/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

오존층	오존/NNG + 층/XSN
파괴,	파괴/NNG + ,/SP
지구	지구/NNG
온난화,	온난/NNG + 화/XSN + ,/SP
산성비	산성비/NNG
등	등/NNB
각각	각각/MAG
다른	다르/VA + ㄴ/ETM
환경오염원과	환경/NNG + 오염원/NNG + 과/JC
파손	파손/NNG
정도에	정도/NNG + 에/JKB
따라	따르/VV + 아/EC
과학자들은	과학자/NNG + 들/XSN + 은/JX
상처투성이의	상처/NNG + 투성이/XSN + 의/JKG
지구에	지구/NNG + 에/JKB
처방을	처방/NNG + 을/JKO
내려	내리/VV + 어/EC
환경	환경/NNG
복원에	복원/NNG + 에/JKB
공헌하려	공헌/NNG + 하/XSV + 려/EC
한다.	하/VX + ㄴ다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
측면에서	측면/NNG + 에서/JKB
파손된	파손/NNG + 되/XSV + ㄴ/ETM
환경을	환경/NNG + 을/JKO
쾌적한	쾌적/XR + 하/XSA + ㄴ/ETM
생활환경으로	생활환경/NNG + 으로/JKB
회복시키기	회복/NNG + 시키/XSV + 기/ETN
위해	위하/VV + 아/EC
체계적으로	체계/NNG + 적/XSN + 으로/JKB
연구하는	연구/NNG + 하/XSV + 는/ETM
복원생태학은	복원/NNG + 생태학/NNG + 은/JX
상처받은	상처/NNG + 받/VV + 은/ETM
지구와	지구/NNG + 와/JC
인류의	인류/NNG + 의/JKG
미래에	미래/NNG + 에/JKB
희망을	희망/NNG + 을/JKO
주는	주/VV + 는/ETM
학문이라고	학문/NNG + 이/VCP + 라고/EC
할	하/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

반짝거리는	반짝거리/VV + 는/ETM
컴팩트	컴팩트/NNG
디스크	디스크/NNG
모양의	모양/NNG + 의/JKG
'CD롬'을	'/SS + CD/SL + 롬/NNG + '/SS + 을/JKO
통해	통하/VV + 아/EC
컴퓨터	컴퓨터/NNG
게임을	게임/NNG + 을/JKO
즐기는	즐기/VV + 는/ETM
시대가	시대/NNG + 가/JKC
됐다.	되/VV + 었/EP + 다/EF + ./SF

PC용	PC/SL + 용/XSN
국산	국산/NNG
CD롬	CD/SL + 롬/NNG
게임	게임/NNG
소프트웨어가	소프트웨어/NNG + 가/JKS
최근	최근/NNG
첫	첫/MM
선을	선/NNG + 을/JKO
보였고,	보이/VV + 었/EP + 고/EC + ,/SP
TV수상기와	TV/SL + 수상기/NNG + 와/JKB
연결해	연결/NNG + 하/XSV + 아/EC
즐기는	즐기/VV + 는/ETM
가정용	가정/NNG + 용/XSN
CD롬	CD/SL + 롬/NNG
게임기도	게임기/NNG + 도/JX
국산	국산/NNG
상표로	상표/NNG + 로/JKB
발매돼	발매/NNG + 되/XSV + 어/EC
애호층을	애호/NNG + 층/XSN + 을/JKO
늘려가고	늘리/VV + 어/EC + 가/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

CD롬(Compact	CD/SL + 롬/NNG + (/SS + Compact/SL
Disc	Disc/SL
Read	Read/SL
Only	Only/SL
Memory)은	Memory/SL + )/SS + 은/JX
'한	'/SS + 한/MM
장에	장/NNB + 에/JKB
신문	신문/NNG
1년	1/SN + 년/NNB
분을	분/XSN + 을/JKO
담을	담/VV + 을/ETM
수	수/NNB
있다'는	있/VX + 다/EC + '/SS + 는/ETM
대용량의	대/XPN + 용량/NNG + 의/JKG
정보	정보/NNG
저장수단이자	저장/NNG + 수단/NNG + 이/VCP + 자/EC
그림과	그림/NNG + 과/JC
음향까지도	음향/NNG + 까지/JX + 도/JX
함께	함께/MAG
수록할	수록/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
멀티미디어	멀티미디어/NNG
매체.	매체/NNG + ./SF

게임분야에서의	게임/NNG + 분야/NNG + 에서/JKB + 의/JKG
'CD롬화'는	'/SS + CD/SL + 롬/NNG + 화/XSN + '/SS + 는/JX
이	이/MM
저장판이	저장/NNG + 판/NNG + 이/JKS
결코	결코/MAG
'차세대'매체가	'/SS + 차세대/NNG + '/SS + 매체/NNG + 가/JKC
아님을	아니/VCN + ㅁ/ETN + 을/JKO
보여준다.	보이/VV + 어/EC + 주/VX + ㄴ다/EF + ./SF

CD롬	CD/SL + 롬/NNG
게임은	게임/NNG + 은/JX
크게	크/VA + 게/EC
나누면	나누/VV + 면/EC
PC용과	PC/SL + 용/XSN + 과/JC
가정용	가정/NNG + 용/XSN
게임기용의	게임기/NNG + 용/XSN + 의/JKG
2가지.	2/SN + 가지/NNB + ./SF

개인용	개인/NNG + 용/XSN
컴퓨터에서	컴퓨터/NNG + 에서/JKB
CD롬을	CD/SL + 롬/NNG + 을/JKO
쓰기	쓰/VV + 기/ETN
위해서는	위하/VV + 아서/EC + 는/JX
'CD롬	'/SS + CD/SL + 롬/NNG
드라이브'를	드라이브/NNG + '/SS + 를/JKO
따로	따로/MAG
달아야	달/VV + 아야/EC
하는	하/VX + 는/ETM
데,	데/NNB + ,/SP
이	이/MM
장치의	장치/NNG + 의/JKG
값이	값/NNG + 이/JKS
최근	최근/NNG
20만원	20/SN + 만/NR + 원/NNB
안팎으로	안팎/NNG + 으로/JKB
대폭	대폭/MAG
내려가자	내려가/VV + 자/EC
CD롬의	CD/SL + 롬/NNG + 의/JKG
보급도	보급/NNG + 도/JX
늘어나고	늘어나/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

미리내소프트사가	미리내소프트사/NNP + 가/JKS
최근	최근/NNG
개발한	개발/NNG + 하/XSV + ㄴ/ETM
슈팅게임	슈팅/NNG + 게임/NNG
'그날이	'/SS + 그날/NNG + 이/JKS
오면	오/VV + 면/EC
3'은	3/SN + '/SS + 은/JX
CD롬에	CD/SL + 롬/NNG + 에/JKB
담긴	담기/VV + ㄴ/ETM
첫	첫/MM
국산게임이다.	국산/NNG + 게임/NNG + 이/VCP + 다/EF + ./SF

컴퓨터용	컴퓨터/NNG + 용/XSN
CD롬	CD/SL + 롬/NNG
게임	게임/NNG
중	중/NNB
외제는	외제/NNG + 는/JX
50여	50/SN + 여/XSN
종이	종/NNG + 이/JKS
들어와	들어오/VV + 아/EC
있으며	있/VX + 으며/EC
대부분	대부분/NNG
미국	미국/NNP
제품.	제품/NNG + ./SF

가정용	가정/NNG + 용/XSN
게임기	게임기/NNG
분야에서는	분야/NNG + 에서/JKB + 는/JX
그동안	그동안/NNG
일부	일부/NNG
게임광들이	게임광/NNG + 들/XSN + 이/JKS
'메가	'/SS + 메가/NNG
CD'나	CD/SL + '/SS + 나/JC
'PC엔진	'/SS + PC/SL + 엔진/NNG
듀오'	듀오/NNG + '/SS
등	등/NNB
비공식적으로	비/XPN + 공식/NNG + 적/XSN + 으로/JKB
들여	들이/VV + 어/EC
온	오/VX + ㄴ/ETM
일본제	일본제/NNG
CD롬	CD/SL + 롬/NNG
게임기를	게임기/NNG + 를/JKO
구해	구하/VV + 아/EC
즐겨온	즐기/VV + 어/EC + 오/VX + ㄴ/ETM
정도였으나,	정도/NNG + 이/VCP + 었/EP + 으나/EC + ,/SP
얼마	얼마/NNG
전	전/NNG
삼성전자가	삼성전자/NNP + 가/JKS
'CD알라딘보이'라는	'/SS + CD/SL + 알라딘보이/NNG + '/SS + 이/VCP + 라는/ETM
CD롬	CD/SL + 롬/NNG
게임기를	게임기/NNG + 를/JKO
첫	첫/MM
선보였다.	선보이/VV + 었/EP + 다/EF + ./SF

일본제	일본제/NNG
알맹이를	알맹이/NNG + 를/JKO
들여다	들이/VV + 어다/EC
만든	만들/VV + ㄴ/ETM
이	이/MM
제품은	제품/NNG + 은/JX
16비트	16/SN + 비트/NNB
슈퍼알라딘보이	슈퍼알라딘보이/NNG
게임기와	게임기/NNG + 와/JKB
접속해	접속/NNG + 하/XSV + 아/EC
CD롬	CD/SL + 롬/NNG
게임을	게임/NNG + 을/JKO
즐기는	즐기/VV + 는/ETM
장치.	장치/NNG + ./SF

삼성은	삼성/NNP + 은/JX
슈팅게임인	슈팅/NNG + 게임/NNG + 이/VCP + ㄴ/ETM
'나이트	'/SS + 나이트/NNG
스트라이커',	스트라이커/NNG + '/SS + ,/SP
운전	운전/NNG
게임인	게임/NNG + 이/VCP + ㄴ/ETM
'재규어	'/SS + 재규어/NNG
XJ220'	XJ/SL + 220/SN + '/SS
'CD	'/SS + CD/SL
바람돌이	바람돌이/NNP
소닉'등	소닉/NNP + '/SS + 등/NNB
10여	10/SN + 여/XSN
종의	종/NNG + 의/JKG
CD롬	CD/SL + 롬/NNG
게임도	게임/NNG + 도/JX
함께	함께/MAG
내놓았다.	내놓/VV + 았/EP + 다/EF + ./SF

CD롬에	CD/SL + 롬/NNG + 에/JKB
게임을	게임/NNG + 을/JKO
수록할	수록/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
가장	가장/MAG
큰	크/VA + ㄴ/ETM
장점은	장점/NNG + 은/JX
용량의	용량/NNG + 의/JKG
제한을	제한/NNG + 을/JKO
거의	거의/MAG
받지	받/VV + 지/EC
않으므로	않/VX + 으므로/EC
마치	마치/MAG
영화	영화/NNG
화면	화면/NNG
같은	같/VA + 은/ETM
섬세하고	섬세/XR + 하/XSA + 고/EC
화려한	화려/XR + 하/XSA + ㄴ/ETM
게임	게임/NNG
화면을	화면/NNG + 을/JKO
구현할	구현/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
점이다.	점/NNG + 이/VCP + 다/EF + ./SF

뿐만	뿐/NNB + 만/JX
아니라	아니/VCN + 라/EC
게임	게임/NNG
삽입음악과	삽입/NNG + 음악/NNG + 과/JC
음향도	음향/NNG + 도/JX
디스켓이나	디스켓/NNG + 이나/JC
롬팩에	롬팩/NNG + 에/JKB
담긴	담기/VV + ㄴ/ETM
게임과는	게임/NNG + 과/JKB + 는/JX
비교도	비교/NNG + 도/JX
되지	되/VV + 지/EC
않는	않/VX + 는/ETM
'생생한	'/SS + 생생/XR + 하/XSA + ㄴ/ETM
입체	입체/NNG
원음'이	원음/NNG + '/SS + 이/JKS
가능하다.	가능/NNG + 하/XSA + 다/EF + ./SF

보통	보통/NNG
컴퓨터	컴퓨터/NNG
게임처럼	게임/NNG + 처럼/JKB
컴퓨터에	컴퓨터/NNG + 에/JKB
내장된	내장/NNG + 되/XSV + ㄴ/ETM
사운드	사운드/NNG
카드를	카드/NNG + 를/JKO
통해	통하/VV + 아/EC
전자음을	전자음/NNG + 을/JKO
합성해내는	합성/NNG + 하/XSV + 아/EC + 내/VX + 는/ETM
것이	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
음악용	음악/NNG + 용/XSN
CD와	CD/SL + 와/JKB
똑같은	똑같/VA + 은/ETM
방식으로	방식/NNG + 으로/JKB
원음을	원음/NNG + 을/JKO
녹음-재생할	녹음/NNG + -/SS + 재생/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있기	있/VV + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

국산	국산/NNG
'그날이	'/SS + 그날/NNG + 이/JKS
오면	오/VV + 면/EC
3'의	3/SN + '/SS + 의/JKG
경우도	경우/NNG + 도/JX
게임	게임/NNG
프로그램과	프로그램/NNG + 과/JKB
함께	함께/MAG
40인조	40/SN + 인/NNG + 조/NNG
오케스트라의	오케스트라/NNG + 의/JKG
연주음이	연주/NNG + 음/NNG + 이/JKS
수록돼	수록/NNG + 되/XSV + 어/EC
있어	있/VX + 어/EC
컴퓨터에	컴퓨터/NNG + 에/JKB
오디오를	오디오/NNG + 를/JKO
연결해놓고	연결/NNG + 하/XSV + 아/EC + 놓/VX + 고/EC
게임을	게임/NNG + 을/JKO
하면	하/VV + 면/EC
웅장한	웅장/XR + 하/XSA + ㄴ/ETM
원음의	원음/NNG + 의/JKG
충격을	충격/NNG + 을/JKO
느낄	느끼/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

이	이/MM
CD롬	CD/SL + 롬/NNG
게임은	게임/NNG + 은/JX
다가오는	다가오/VV + 는/ETM
미래의	미래/NNG + 의/JKG
전자오락으로	전자오락/NNG + 으로/JKB
매우	매우/MAG
주목받는	주목/NNG + 받/VV + 는/ETM
분야다.	분야/NNG + 이/VCP + 다/EF + ./SF

선발주자인	선발/NNG + 주자/NNG + 이/VCP + ㄴ/ETM
미국을	미국/NNP + 을/JKO
의식하여	의식/NNG + 하/XSV + 아/EC
일본의	일본/NNP + 의/JKG
게임회사	게임/NNG + 회사/NNG
세가는	세가/NNP + 는/JX
최근	최근/NNG
캘리포니아에	캘리포니아/NNP + 에/JKB
멀티미디어	멀티미디어/NNG
스튜디오를	스튜디오/NNG + 를/JKO
마련했고	마련/NNG + 하/XSV + 았/EP + 고/EC
컬럼비아영화사를	컬럼비아영화사/NNP + 를/JKO
사들인	사들이/VV + ㄴ/ETM
소니도	소니/NNP + 도/JX
미국에서	미국/NNP + 에서/JKB
CD롬	CD/SL + 롬/NNG
게임	게임/NNG
제작에	제작/NNG + 에/JKB
들어가는	들어가/VV + 는/ETM
등	등/NNB
국제적	국제/NNG + 적/XSN
경쟁도	경쟁/NNG + 도/JX
시작됐다.	시작/NNG + 되/XSV + 었/EP + 다/EF + ./SF

컴퓨터	컴퓨터/NNG
화면	화면/NNG
속에서	속/NNG + 에서/JKB
하늘을	하늘/NNG + 을/JKO
마음껏	마음껏/MAG
날아	날/VV + 아/EC
보는	보/VX + 는/ETM
비행	비행/NNG
게임	게임/NNG
2가지가	2/SN + 가지/NNB + 가/JKS
애호가들	애호가/NNG + 들/XSN
사이에서	사이/NNG + 에서/JKB
요즘	요즘/NNG
돌풍을	돌풍/NNG + 을/JKO
일으키고	일으키/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

루카스	루카스/NNP
아츠사의	아츠사/NNP + 의/JKG
'스타워즈	'/SS + 스타워즈/NNP
X-윙'(동서게임채널	X/SL + -/SS + 윙/NNP + '/SS + (/SS + 동서게임채널/NNP
발매)과	발매/NNG + )/SS + 과/JC
오리진사의	오리진사/NNP + 의/JKG
'스트라이크	'/SS + 스트라이크/NNP
커맨더'(SKC발매)	커맨더/NNG + '/SS + (/SS + SKC/SL + 발매/NNG + )/SS
등	등/NNB
미국	미국/NNP
원산의	원산/NNG + 의/JKG
두	두/MM
라이선스	라이선스/NNG
게임이	게임/NNG + 이/JKS
화제작.	화제작/NNG + ./SF

이	이/MM
게임들은	게임/NNG + 들/XSN + 은/JX
두	두/MM
판매사의	판매사/NNG + 의/JKG
신작	신작/NNG
게임	게임/NNG
소프트웨어	소프트웨어/NNG
중에서	중/NNB + 에서/JKB
판매	판매/NNG
1위를	1/SN + 위/NNB + 를/JKO
달리고	달리/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

'스타워즈…'는	'/SS + 스타워즈/NNP + …/SE + '/SS + 는/JX
우주전이고	우주전/NNG + 이/VCP + 고/EC
'스트라이크…'는	'/SS + 스트라이크/NNP + …/SE + '/SS + 는/JX
지구	지구/NNG
상공의	상공/NNG + 의/JKG
공중전이지만,	공중전/NNG + 이/VCP + 지만/EC + ,/SP
모두	모두/MAG
21세기를	21/SN + 세기/NNG + 를/JKO
배경으로	배경/NNG + 으로/JKB
한	하/VV + ㄴ/ETM
비행	비행/NNG
시뮬레이션	시뮬레이션/NNG
게임이다.	게임/NNG + 이/VCP + 다/EF + ./SF

주어진	주어지/VV + ㄴ/ETM
상황에서	상황/NNG + 에서/JKB
실제로	실제로/MAG
비행하듯	비행/NNG + 하/XSV + 듯/EC
데이터를	데이터/NNG + 를/JKO
입력해	입력/NNG + 하/XSV + 아/EC
가며	가/VX + 며/EC
두뇌회전의	두뇌/NNG + 회전/NNG + 의/JKG
묘미도	묘미/NNG + 도/JX
즐기는	즐기/VV + 는/ETM
비행	비행/NNG
시뮬레이션	시뮬레이션/NNG
게임은	게임/NNG + 은/JX
여러	여러/MM
가지가	가지/NNB + 가/JKS
있으나,	있/VV + 으나/EC + ,/SP
이번	이번/NNG
게임들은	게임/NNG + 들/XSN + 은/JX
용량을	용량/NNG + 을/JKO
대폭	대폭/MAG
늘려	늘리/VV + 어/EC
더욱	더욱/MAG
정밀하고	정밀/NNG + 하/XSA + 고/EC
섬세한	섬세/XR + 하/XSA + ㄴ/ETM
화면을	화면/NNG + 을/JKO
보여	보이/VV + 어/EC
주고	주/VX + 고/EC
있는	있/VX + 는/ETM
것이	것/NNB + 이/JKS
큰	크/VA + ㄴ/ETM
특징이다.	특징/NNG + 이/VCP + 다/EF + ./SF

'스타워즈	'/SS + 스타워즈/NNP
X-윙'은	X/SL + -/SS + 윙/NNP + '/SS + 은/JX
제목	제목/NNG
그대로	그대로/MAG
전	전/MM
세계에	세계/NNG + 에/JKB
돌풍을	돌풍/NNG + 을/JKO
몰고	몰/VV + 고/EC
왔던	오/VX + 았/EP + 던/ETM
조지	조지/NNP
루카스	루카스/NNP
감독의	감독/NNG + 의/JKG
영화	영화/NNG
'스타워즈'를	'/SS + 스타워즈/NNP + '/SS + 를/JKO
게임화한	게임/NNG + 화/XSN + 하/XSV + ㄴ/ETM
것.	것/NNB + ./SF

'스타워즈'는	'/SS + 스타워즈/NNP + '/SS + 는/JX
77년부터	77/SN + 년/NNB + 부터/JX
시리즈로	시리즈/NNG + 로/JKB
나왔으나	나오/VV + 았/EP + 으나/EC
이	이/MM
게임은	게임/NNG + 은/JX
정확히	정확히/MAG
말하면	말/NNG + 하/XSV + 면/EC
3편에	3/SN + 편/NNB + 에/JKB
해당하는	해당/NNG + 하/XSV + 는/ETM
'제다이의	'/SS + 제다이/NNP + 의/JKG
귀환'을	귀환/NNG + '/SS + 을/JKO
기초로	기초/NNG + 로/JKB
했다.	하/VV + 았/EP + 다/EF + ./SF

게임	게임/NNG
진행자는	진행자/NNG + 는/JX
연합동맹군의	연합/NNG + 동맹군/NNG + 의/JKG
전사가	전사/NNG + 가/JKC
되어	되/VV + 어/EC
우주선을	우주선/NNG + 을/JKO
조종한다.	조종/NNG + 하/XSV + ㄴ다/EF + ./SF

그의	그/NP + 의/JKG
임무는	임무/NNG + 는/JX
제국군과	제국군/NNG + 과/JKB
싸움을	싸움/NNG + 을/JKO
벌여	벌이/VV + 어/EC
제국의	제국/NNG + 의/JKG
독재를	독재/NNG + 를/JKO
무너뜨리고	무너뜨리/VV + 고/EC
옛	옛/MM
공화국을	공화국/NNG + 을/JKO
재건하는	재건/NNG + 하/XSV + 는/ETM
것.	것/NNB + ./SF

영화에	영화/NNG + 에/JKB
등장했던	등장/NNG + 하/XSV + 았/EP + 던/ETM
비행기들이	비행기/NNG + 들/XSN + 이/JKS
게임에도	게임/NNG + 에/JKB + 도/JX
등장한다.	등장/NNG + 하/XSV + ㄴ다/EF + ./SF

우주전투가	우주/NNG + 전투/NNG + 가/JKS
끝난	끝나/VV + ㄴ/ETM
뒤에는	뒤/NNG + 에/JKB + 는/JX
영웅들의	영웅/NNG + 들/XSN + 의/JKG
주검을	주검/NNG + 을/JKO
행성의	행성/NNG + 의/JKG
대기층에서	대기/NNG + 층/XSN + 에서/JKB
영원히	영원히/MAG
불타	불타/VV + 아/EC
사라지게	사라지/VV + 게/EC
만드는	만들/VV + 는/ETM
우주	우주/NNG
장례식이	장례식/NNG + 이/JKS
열리도록	열리/VV + 도록/EC
돼	되/VV + 어/EC
있는	있/VX + 는/ETM
등	등/NNB
