15면	15/SN + 면/NNG
열쇠는	열쇠/NNG + 는/JX
지수	지수/NNG
관련	관련/NNG
대형주가	대형주/NNG + 가/JKS
쥐고	쥐/VV + 고/EC
있다"고	있/VX + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

10면	10/SN + 면/NNG
45판	45/SN + 판/NNB
974자	974/SN + 자/NNG

야후	야후/NNP
창업자	창업자/NNG
제리	제리/NNP
양(31)이	양/NNP + (/SS + 31/SN + )/SS + 이/JKS
29일	29/SN + 일/NNB
기자회견을	기자/NNG + 회견/NNG + 을/JKO
통해	통하/VV + 아/EC
투자하겠다고	투자/NNG + 하/XSV + 겠/EP + 다고/EC
밝힌	밝히/VV + ㄴ/ETM
680억원은	680/SN + 억/NR + 원/NNB + 은/JX
야후코리아가	야후코리아/NNP + 가/JKS
한국에서	한국/NNP + 에서/JKB
인수합병(M&A)을	인수/NNG + 합병/NNG + (/SS + M/SL + &/SW + A/SL + )/SS + 을/JKO
포함한	포함/NNG + 하/XSV + ㄴ/ETM
전략적	전략/NNG + 적/XSN
활동을	활동/NNG + 을/JKO
펼치는	펼치/VV + 는/ETM
데	데/NNB
사용될	사용/NNG + 되/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

야후코리아측은	야후코리아/NNP + 측/NNB + 은/JX
이와관련	이/NP + 와/JKB + 관련/NNG
"3월	"/SS + 3/SN + 월/NNB
중에	중/NNB + 에/JKB
모든	모든/MM
투자가	투자/NNG + 가/JKS
끝날	끝나/VV + ㄹ/ETM
것"이며	것/NNB + "/SS + 이/VCP + 며/EC
"대부분의	"/SS + 대부분/NNG + 의/JKG
자금이	자금/NNG + 이/JKS
인수합병과	인수/NNG + 합병/NNG + 과/JKB
함께	함께/MAG
조인트벤처를	조인트/NNG + 벤처/NNG + 를/JKO
구성하는	구성/NNG + 하/XSV + 는/ETM
자금으로	자금/NNG + 으로/JKB
쓰일	쓰이/VV + ㄹ/ETM
것"이라고	것/NNB + "/SS + 이라고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

염진섭	염진섭/NNP
한국야후코리아사장도	한국/NNP + 야후코리아/NNP + 사장/NNG + 도/JX
"국내	"/SS + 국내/NNG
인터넷업체들의	인터넷/NNG + 업체/NNG + 들/XSN + 의/JKG
리스트를	리스트/NNG + 를/JKO
뽑아보고	뽑/VV + 아/EC + 보/VX + 고/EC
있는	있/VX + 는/ETM
중"이라고	중/NNB + "/SS + 이라고/JKQ
말해	말/NNG + 하/XSV + 아/EC
이같은	이/NP + 같/VA + 은/ETM
추정을	추정/NNG + 을/JKO
뒷받침했다.	뒷받침/NNG + 하/XSV + 았/EP + 다/EF + ./SF

제리	제리/NNP
양의	양/NNP + 의/JKG
680억원	680/SN + 억/NR + 원/NNB
추가	추가/NNG
투자분이	투자/NNG + 분/XSN + 이/JKS
야후코리아를	야후코리아/NNP + 를/JKO
통해	통하/VV + 아/EC
한국에서	한국/NNP + 에서/JKB
어떤	어떤/MM
식으로	식/NNB + 으로/JKB
운용될	운용/NNG + 되/XSV + ㄹ/ETM
것인가는	것/NNB + 이/VCP + ㄴ가/EC + 는/JX
최근	최근/NNG
야후의	야후/NNP + 의/JKG
행보로도	행보/NNG + 로/JKB + 도/JX
미루어	미루/VV + 어/EC
짐작할	짐작/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

제리	제리/NNP
양은	양/NNP + 은/JX
이날	이날/NNG
"야후	"/SS + 야후/NNP
사업의	사업/NNG + 의/JKG
구성요소는	구성/NNG + 요소/NNG + 는/JX
미디어,	미디어/NNG + ,/SP
통신과	통신/NNG + 과/JC
커뮤니케이션,	커뮤니케이션/NNG + ,/SP
전자상거래를	전자/NNG + 상거래/NNG + 를/JKO
포괄한다"고	포괄/NNG + 하/XSV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

야후는	야후/NNP + 는/JX
실제로	실제로/MAG
98년	98/SN + 년/NNB
12월	12/SN + 월/NNB
인터넷	인터넷/NNG
마케팅	마케팅/NNG
전문회사	전문/NNG + 회사/NNG
요요다인	요요다인/NNP
인수,	인수/NNG + ,/SP
작년	작년/NNG
4월	4/SN + 월/NNB
인터넷	인터넷/NNG
방송국	방송국/NNG
브로드캐스트닷컴	브로드/NNG + 캐스트닷컴/NNG
인수를	인수/NNG + 를/JKO
통해	통하/VV + 아/EC
전자상거래	전자/NNG + 상거래/NNG
서비스에서	서비스/NNG + 에서/JKB
스포츠,	스포츠/NNG + ,/SP
방송	방송/NNG
사이트까지	사이트/NNG + 까지/JX
사업	사업/NNG
폭을	폭/NNG + 을/JKO
넓히고	넓히/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

야후코리아	야후코리아/NNP
이용문	이용문/NNP
재무담당	재무/NNG + 담당/NNG
이사는	이사/NNG + 는/JX
"국내에서도	"/SS + 국내/NNG + 에서/JKB + 도/JX
컨텐츠,	컨텐츠/NNG + ,/SP
미디어,	미디어/NNG + ,/SP
커뮤니케이션	커뮤니케이션/NNG
툴,	툴/NNG + ,/SP
전자상거래	전자/NNG + 상거래/NNG
업체	업체/NNG
등	등/NNB
모든	모든/MM
분야의	분야/NNG + 의/JKG
인터넷	인터넷/NNG
관련사들이	관련사/NNG + 들/XSN + 이/JKS
인수합병과	인수/NNG + 합병/NNG + 과/JC
조인트벤처의	조인트/NNG + 벤처/NNG + 의/JKG
대상이	대상/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
것	것/NNB
아니냐"고	아니/VCN + 냐/EC + "/SS + 고/JKQ
설명했다.	설명/NNG + 하/XSV + 았/EP + 다/EF + ./SF

제리	제리/NNP
양이	양/NNP + 이/JKS
이번에	이번/NNG + 에/JKB
서울을	서울/NNP + 을/JKO
찾은	찾/VV + 은/ETM
또하나의	또/MAG + 하나/NR + 의/JKG
이유는	이유/NNG + 는/JX
삼성전자와의	삼성전자/NNP + 와/JKB + 의/JKG
제휴다.	제휴/NNG + 이/VCP + 다/EF + ./SF

제리	제리/NNP
양은	양/NNP + 은/JX
이날	이날/NNG
오후	오후/NNG
삼성전자를	삼성전자/NNP + 를/JKO
방문,	방문/NNG + ,/SP
전략적	전략/NNG + 적/XSN
제휴에	제휴/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
양해각서(MOU)를	양해/NNG + 각서/NNG + (/SS + MOU/SL + )/SS + 를/JKO
교환했다.	교환/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이번	이번/NNG
전략적	전략/NNG + 적/XSN
제휴로	제휴/NNG + 로/JKB
야후코리아	야후코리아/NNP
사이트에	사이트/NNG + 에/JKB
삼성전자	삼성전자/NNP
전문	전문/NNG
쇼핑몰이	쇼핑몰/NNG + 이/JKS
운영되고,	운영/NNG + 되/XSV + 고/EC + ,/SP
야후와	야후/NNP + 와/JC
삼성은	삼성/NNP + 은/JX
이벤트,	이벤트/NNG + ,/SP
커뮤니티	커뮤니티/NNG
운영,	운영/NNG + ,/SP
시장조사	시장/NNG + 조사/NNG
등을	등/NNB + 을/JKO
공동으로	공동/NNG + 으로/JKB
추진하게	추진/NNG + 하/XSV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

삼성전자	삼성전자/NNP
방문에	방문/NNG + 에/JKB
앞서	앞서/VV + 어/EC
제리	제리/NNP
양은	양/NNP + 은/JX
안병엽(안병엽)	안병엽/NNP + (/SS + 안병엽/NNP + )/SS
정보통신부	정보/NNG + 통신부/NNG
장관을	장관/NNG + 을/JKO
만나	만나/VV + 아/EC
20여분간	20/SN + 여/XSN + 분/NNB + 간/NNG
대화를	대화/NNG + 를/JKO
나누기도	나누/VV + 기/ETN + 도/JX
했다.	하/VV + 았/EP + 다/EF + ./SF

이	이/MM
자리에서	자리/NNG + 에서/JKB
제리	제리/NNP
양은	양/NNP + 은/JX
"한국이	"/SS + 한국/NNP + 이/JKS
인터넷	인터넷/NNG
분야에서	분야/NNG + 에서/JKB
아시아의	아시아/NNP + 의/JKG
선도적	선도/NNG + 적/XSN
역할을	역할/NNG + 을/JKO
하는	하/VV + 는/ETM
것은	것/NNB + 은/JX
단일언어,	단일/NNG + 언어/NNG + ,/SP
교육수준,	교육/NNG + 수준/NNG + ,/SP
통신	통신/NNG
인프라,	인프라/NNG + ,/SP
첨단	첨단/NNG
뱅킹	뱅킹/NNG
시스템	시스템/NNG
때문"이라며	때문/NNB + "/SS + 이/VCP + 라며/EC
"정보통신이	"/SS + 정보/NNG + 통신/NNG + 이/JKS
한국	한국/NNP
국가기간망의	국가/NNG + 기간/NNG + 망/NNG + 의/JKG
기초가	기초/NNG + 가/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있기를	있/VV + 기/ETN + 를/JKO
바란다"고	바라/VV + ㄴ다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

11면	11/SN + 면/NNG
45판	45/SN + 판/NNB
1817자	1817/SN + 자/NNG

"코스닥기업인	"/SS + 코스닥/NNG + 기업/NNG + 이/VCP + ㄴ/ETM
S사의	S/SL + 사/NNG + 의/JKG
기술진은	기술진/NNG + 은/JX
우리	우리/NP
회사에서	회사/NNG + 에서/JKB
나간	나가/VV + ㄴ/ETM
사람들입니다.	사람/NNG + 들/XSN + 이/VCP + ㅂ니다/EF + ./SF

게다가	게다가/MAG
나간	나가/VV + ㄴ/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
최정예	최/XPN + 정예/NNG
멤버도	멤버/NNG + 도/JX
아닙니다.	아니/VCN + ㅂ니다/EF + ./SF

기술격차가	기술/NNG + 격차/NNG + 가/JKS
3년	3/SN + 년/NNB
정도	정도/NNG
나지요.	나/VV + 지요/EF + ./SF

매출액과	매출액/NNG + 과/JC
순이익도	순이익/NNG + 도/JX
우리가	우리/NP + 가/JKS
3배	3/SN + 배/NNG
정도	정도/NNG
많아서,	많/VA + 아서/EC + ,/SP
경쟁업체로	경쟁/NNG + 업체/NNG + 로/JKB
신경도	신경/NNG + 도/JX
안써요.	안/MAG + 쓰/VV + 어요/EF + ./SF

그러나	그러나/MAJ
주가는	주가/NNG + 는/JX
그쪽이	그쪽/NP + 이/JKS
3배입니다.	3/SN + 배/NNG + 이/VCP + ㅂ니다/EF + ./SF

거래소	거래소/NNG
상장업체	상장/NNG + 업체/NNG
A사의	A/SL + 사/NNG + 의/JKG
오너는	오너/NNG + 는/JX
몹시	몹시/MAG
납득이	납득/NNG + 이/JKS
가지	가/VV + 지/EC
않는	않/VX + 는/ETM
표정이지만,	표정/NNG + 이/VCP + 지만/EC + ,/SP
'단지	'/SS + 단지/MAG
코스닥에	코스닥/NNG + 에/JKB
있다는	있/VV + 다는/ETM
이유만으로'	이유/NNG + 만/JX + 으로/JKB + '/SS
엄청난	엄청나/VA + ㄴ/ETM
주가	주가/NNG
프리미엄이	프리미엄/NNG + 이/JKS
붙는다는	붙/VV + 는다는/ETM
것은	것/NNB + 은/JX
최근	최근/NNG
증시의	증시/NNG + 의/JKG
상식이다.	상식/NNG + 이/VCP + 다/EF + ./SF

기업내용이	기업/NNG + 내용/NNG + 이/JKS
비슷할	비슷/XR + 하/XSA + ㄹ/ETM
경우	경우/NNG
코스닥에	코스닥/NNG + 에/JKB
등록된	등록/NNG + 되/XSV + ㄴ/ETM
종목은	종목/NNG + 은/JX
거래소	거래소/NNG
상장종목보다	상장/NNG + 종목/NNG + 보다/JKB
주가가	주가/NNG + 가/JKS
약	약/MM
2-3배	2/SN + -/SS + 3/SN + 배/NNG
정도	정도/NNG
높다.	높/VA + 다/EF + ./SF

반도체,	반도체/NNG + ,/SP
TFT-LCD	TFT/SL + -/SS + LCD/SL
등에서	등/NNB + 에서/JKB
세계	세계/NNG
1류	1/SN + 류/XSN
기업인	기업인/NNG
삼성전자	삼성전자/NNP
주가는	주가/NNG + 는/JX
25만원	25/SN + 만/NR + 원/NNB
수준에서	수준/NNG + 에서/JKB
오가지만,	오가/VV + 지만/EC + ,/SP
삼성전자	삼성전자/NNP
납품업체인	납품업체/NNG + 이/VCP + ㄴ/ETM
주성엔지니어링의	주성엔지니어링/NNP + 의/JKG
주가는	주가/NNG + 는/JX
5000원	5000/SN + 원/NNB
액면	액면/NNG
기준으로	기준/NNG + 으로/JKB
80만원을	80/SN + 만/NR + 원/NNB + 을/JKO
넘는다.	넘/VV + 는다/EF + ./SF

같은	같/VA + 은/ETM
위성방송	위성/NNG + 방송/NNG
수신기	수신기/NNG
업체이지만	업체/NNG + 이/VCP + 지만/EC
코스닥기업인	코스닥/NNG + 기업인/NNG
기륭전자의	기륭전자/NNP + 의/JKG
주가는	주가/NNG + 는/JX
모(모)회사이자	모/NNG + (/SS + 모/NNG + )/SS + 회사/NNG + 이/VCP + 자/EC
세계1위	세계/NNG + 1/SN + 위/NNB
생산업체인	생산/NNG + 업체/NNG + 이/VCP + ㄴ/ETM
대륭정밀(거래소	대륭정밀/NNP + (/SS + 거래소/NNG
상장업체)	상장/NNG + 업체/NNG + )/SS
주가의	주가/NNG + 의/JKG
세	세/MM
배나	배/NNG + 나/JX
된다.	되/VV + ㄴ다/EF + ./SF

이같은	이/NP + 같/VA + 은/ETM
현상	현상/NNG
때문에	때문/NNB + 에/JKB
일부	일부/NNG
상장기업들은	상장/NNG + 기업/NNG + 들/XSN + 은/JX
'거래소에서	'/SS + 거래소/NNG + 에서/JKB
코스닥으로	코스닥/NNG + 으로/JKB
자리를	자리/NNG + 를/JKO
옮겨야	옮기/VV + 어야/EC
하지	하/VX + 지/EC
않느냐'는	않/VX + 느냐/EC + '/SS + 는/ETM
얘기까지	얘기/NNG + 까지/JX
꺼내고	꺼내/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

작년	작년/NNG
이후	이후/NNG
코스닥을	코스닥/NNG + 을/JKO
평가하는	평가/NNG + 하/XSV + 는/ETM
애널리스트들은	애널리스트/NNG + 들/XSN + 은/JX
한두	한두/MM
번	번/NNB
망신을	망신/NNG + 을/JKO
당한	당하/VV + ㄴ/ETM
게	것/NNB + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

애널리스트들이	애널리스트/NNG + 들/XSN + 이/JKS
평가한	평가/NNG + 하/XSV + ㄴ/ETM
적정가격이	적정/NNG + 가격/NNG + 이/JKS
제대로	제대로/MAG
맞는	맞/VV + 는/ETM
일이	일/NNG + 이/JKS
없었기	없/VA + 었/EP + 기/ETN
때문.	때문/NNB + ./SF

마이다스에셋	마이다스에셋/NNP
김기환	김기환/NNP
상무는	상무/NNG + 는/JX
"코스닥	"/SS + 코스닥/NNG
종목들은	종목/NNG + 들/XSN + 은/JX
기존	기존/NNG
주가	주가/NNG
분석방식으로는	분석/NNG + 방식/NNG + 으로/JKB + 는/JX
설명이	설명/NNG + 이/JKS
안된다"고	안/MAG + 되/XSV + ㄴ다/EC + "/SS + 고/JKQ
혀를	혀/NNG + 를/JKO
내두른다.	내두르/VV + ㄴ다/EF + ./SF

벤처기업	벤처/NNG + 기업/NNG
같은	같/VA + 은/ETM
'성장주'들은	'/SS + 성장/NNG + 주/NNG + '/SS + 들/XSN + 은/JX
당장은	당장/NNG + 은/JX
수익이	수익/NNG + 이/JKS
크지	크/VA + 지/EC
않더라도	않/VX + 더라도/EC
장래의	장래/NNG + 의/JKG
수익성이	수익/NNG + 성/XSN + 이/JKS
기대되기	기대/NNG + 되/XSV + 기/ETN
때문에	때문/NNB + 에/JKB
주가가	주가/NNG + 가/JKS
높을	높/VA + 을/ETM
수는	수/NNB + 는/JX
있지만,	있/VX + 지만/EC + ,/SP
일부	일부/NNG
코스닥	코스닥/NNG
기업들은	기업/NNG + 들/XSN + 은/JX
이런	이런/MM
점을	점/NNG + 을/JKO
감안하더라도	감안/NNG + 하/XSV + 더라도/EC
지나치게	지나치/VA + 게/EC
주가가	주가/NNG + 가/JKS
높다는	높/VA + 다는/ETM
것.	것/NNB + ./SF

한마디로	한마디/NNG + 로/JKB
향후	향후/NNG
몇백년	몇/MM + 백/NR + 년/NNB
동안의	동안/NNG + 의/JKG
미래	미래/NNG
기업가치를	기업/NNG + 가치/NNG + 를/JKO
다	다/MAG
반영하고도	반영/NNG + 하/XSV + 고/EC + 도/JX
남을	남/VV + 을/ETM
정도로	정도/NNG + 로/JKB
주가가	주가/NNG + 가/JKS
고평가돼	고/XPN + 평가/NNG + 되/XSV + 어/EC
있다는	있/VX + 다는/ETM
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

이	이/MM
때문에,	때문/NNB + 에/JKB + ,/SP
최근	최근/NNG
증권사들은	증권사/NNG + 들/XSN + 은/JX
아예	아예/MAG
비정상적인	비/XPN + 정상/NNG + 적/XSN + 이/VCP + ㄴ/ETM
코스닥	코스닥/NNG
주가를	주가/NNG + 를/JKO
설명할	설명/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
이론을	이론/NNG + 을/JKO
개발중이다.	개발/NNG + 중/NNB + 이/VCP + 다/EF + ./SF

물론	물론/MAG
일부	일부/NNG
애널리스트들은	애널리스트/NNG + 들/XSN + 은/JX
"노래	"/SS + 노래/NNG
잘하는	잘/MAG + 하/XSV + 는/ETM
가수가	가수/NNG + 가/JKS
반드시	반드시/MAG
인기를	인기/NNG + 를/JKO
얻고	얻/VV + 고/EC
높은	높/VA + 은/ETM
개런티를	개런티/NNG + 를/JKO
받는	받/VV + 는/ETM
것은	것/NNB + 은/JX
아니다"라고	아니/VCN + 다/EC + "/SS + 라고/JKQ
말하기도	말/NNG + 하/XSV + 기/ETN + 도/JX
한다.	하/VX + ㄴ다/EF + ./SF

그러나	그러나/MAJ
기업	기업/NNG
실력과	실력/NNG + 과/JC
관계없이	관계없이/MAG
단순히	단순히/MAG
군중심리로만	군중/NNG + 심리/NNG + 로/JKB + 만/JX
주가가	주가/NNG + 가/JKS
오르내린다면,	오르내리/VV + ㄴ다면/EC + ,/SP
그	그/MM
시장은	시장/NNG + 은/JX
이미	이미/MAG
'투기장'과	'/SS + 투기장/NNG + '/SS + 과/JC
다름없다는	다름없/VA + 다는/ETM
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

더군다나,'군중심리'에	더군다나/MAG + ,/SP + '/SS + 군중/NNG + 심리/NNG + '/SS + 에/JKB
힘입어	힘입/VV + 어/EC
급속히	급속히/MAG
상승한	상승/NNG + 하/XSV + ㄴ/ETM
주가는	주가/NNG + 는/JX
빠질	빠지/VV + ㄹ/ETM
때도	때/NNG + 도/JX
일순에	일순/NNG + 에/JKB
빠지고,	빠지/VV + 고/EC + ,/SP
이	이/MM
과정에서	과정/NNG + 에서/JKB
개인투자자들의	개인/NNG + 투자자/NNG + 들/XSN + 의/JKG
손해만	손해/NNG + 만/JX
커진다는	커지/VV + ㄴ다는/ETM
것이	것/NNB + 이/JKS
증권시장의	증권/NNG + 시장/NNG + 의/JKG
경험칙(경험칙)이다.	경험칙/NNG + (/SS + 경험칙/NNG + )/SS + 이/VCP + 다/EF + ./SF

실제로	실제로/MAG
단기	단기/NNG
급등에	급등/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
우려감이	우려감/NNG + 이/JKS
높아지면서	높/VA + 아/EC + 지/VX + 면서/EC
코스닥지수는	코스닥/NNG + 지수/NNG + 는/JX
작년	작년/NNG
12월	12/SN + 월/NNB
중순부터	중순/NNG + 부터/JX
1월	1/SN + 월/NNB
하순까지	하순/NNG + 까지/JX
무려	무려/MAG
35%나	35/SN + %/SW + 나/JC
폭락하기도	폭락/NNG + 하/XSV + 기/ETN + 도/JX
했다.	하/VV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
문제는	문제/NNG + 는/JX
높은	높/VA + 은/ETM
주가	주가/NNG
수준에	수준/NNG + 에/JKB
있는	있/VV + 는/ETM
것이	것/NNB + 이/JKC
아니라,	아니/VCN + 라/EC + ,/SP
기술개발보다는	기술/NNG + 개발/NNG + 보다/JKB + 는/JX
재테크에	재테크/NNG + 에/JKB
골몰하는	골몰/NNG + 하/XSV + 는/ETM
벤처기업인이	벤처/NNG + 기업인/NNG + 이/JKS
급증하고,	급증/NNG + 하/XSV + 고/EC + ,/SP
벤처붐을	벤처/NNG + 붐/NNG + 을/JKO
이용하여	이용/NNG + 하/XSV + 아/EC
한탕을	한탕/NNG + 을/JKO
해보려는	하/VV + 아/EC + 보/VX + 려는/ETM
엉뚱한	엉뚱/XR + 하/XSA + ㄴ/ETM
기업인들이	기업인/NNG + 들/XSN + 이/JKS
계속	계속/MAG
늘어난다는	늘어나/VV + ㄴ다는/ETM
데	데/NNB
있다.	있/VV + 다/EF + ./SF

예를	예/NNG + 를/JKO
들어	들/VV + 어/EC
증권시장에선	증권/NNG + 시장/NNG + 에서/JKB + ㄴ/JX
지난	지나/VV + ㄴ/ETM
2월21일	2/SN + 월/NNB + 21/SN + 일/NNB
이후	이후/NNG
일주일	일주일/NNG
사이에	사이/NNG + 에/JKB
무려	무려/MAG
16개의	16/SN + 개/NNB + 의/JKG
기업이	기업/NNG + 이/JKS
"이름을	"/SS + 이름/NNG + 을/JKO
바꾸겠다"고	바꾸/VV + 겠/EP + 다/EC + "/SS + 고/JKQ
공시했다.	공시/NNG + 하/XSV + 았/EP + 다/EF + ./SF

워낙	워낙/MAG
정보통신쪽으로	정보/NNG + 통신/NNG + 쪽/NNB + 으로/JKB
돈이	돈/NNG + 이/JKS
몰리다	몰리/VV + 다/EC
보니	보/VX + 니/EC
자기기업을	자기/NP + 기업/NNG + 을/JKO
정보통신	정보/NNG + 통신/NNG
기업처럼	기업/NNG + 처럼/JKB
꾸미기	꾸미/VV + 기/ETN
위해	위하/VV + 아/EC
회사이름에	회사/NNG + 이름/NNG + 에/JKB
'테크놀로지'	'/SS + 테크놀로지/NNG + '/SS
'텔레콤'	'/SS + 텔레콤/NNG + '/SS
'텔'등과	'/SS + 텔/NNG + '/SS + 등/NNB + 과/JKB
같은	같/VA + 은/ETM
문구를	문구/NNG + 를/JKO
넣거나,	넣/VV + 거나/EC + ,/SP
한글	한글/NNG
이름을	이름/NNG + 을/JKO
영어로	영어/NNP + 로/JKB
바꾸기	바꾸/VV + 기/ETN
위한	위하/VV + ㄴ/ETM
것이	것/NNB + 이/JKS
대부분이었다.	대부분/NNG + 이/VCP + 었/EP + 다/EF + ./SF

요즘	요즘/NNG
코스닥	코스닥/NNG
기업	기업/NNG
사이에	사이/NNG + 에/JKB
유행이	유행/NNG + 이/JKC
되고	되/VV + 고/EC
있는'액면분할'이라는	있/VX + 는/ETM + '/SS + 액면/NNG + 분할/NNG + '/SS + 이/VCP + 라는/ETM
것도	것/NNB + 도/JX
솔직히	솔직히/MAG
말하면	말/NNG + 하/XSV + 면/EC
'눈속임'에	'/SS + 눈속임/NNG + '/SS + 에/JKB
가깝다.	가깝/VA + 다/EF + ./SF

액면가를	액면/NNG + 가/XSN + 를/JKO
쪼개	쪼개/VV + 어/EC
주가를	주가/NNG + 를/JKO
크게	크/VA + 게/EC
낮추면,	낮추/VV + 면/EC + ,/SP
주식값이	주식/NNG + 값/NNG + 이/JKS
싸보이기	싸/VA + 아/EC + 보이/VV + 기/ETN
때문에	때문/NNB + 에/JKB
물정	물정/NNG
모르는	모르/VV + 는/ETM
개인투자자들이	개인/NNG + 투자자/NNG + 들/XSN + 이/JKS
주식을	주식/NNG + 을/JKO
마구	마구/MAG
사들인다는	사들이/VV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

한마디로	한마디/NNG + 로/JKB
적잖은	적잖/VA + 은/ETM
벤처기업들이	벤처/NNG + 기업/NNG + 들/XSN + 이/JKS
기업활동	기업/NNG + 활동/NNG
자체보다는	자체/NNG + 보다/JKB + 는/JX
주식시장에서	주식/NNG + 시장/NNG + 에서/JKB
주가를	주가/NNG + 를/JKO
끌어올려	끌어올리/VV + 어/EC
재테크를	재테크/NNG + 를/JKO
하는	하/VV + 는/ETM
데만	데/NNB + 만/JX
혈안이	혈안/NNG + 이/JKC
돼	되/VV + 어/EC
있고,	있/VX + 고/EC + ,/SP
순진한	순진/XR + 하/XSA + ㄴ/ETM
주식투자자들은	주식/NNG + 투자자/NNG + 들/XSN + 은/JX
그	그/MM
장단에	장단/NNG + 에/JKB
춤추고	춤추/VV + 고/EC
있다는	있/VX + 다는/ETM
지적이다.	지적/NNG + 이/VCP + 다/EF + ./SF

미국이나	미국/NNP + 이나/JC
일본의	일본/NNP + 의/JKG
경우	경우/NNG
역시	역시/MAG
인터넷기업이나	인터넷/NNG + 기업/NNG + 이나/JC
벤처기업들의	벤처/NNG + 기업/NNG + 들/XSN + 의/JKG
주가가	주가/NNG + 가/JKS
작년이래	작년/NNG + 이래/NNB
고속상승	고속/NNG + 상승/NNG
행진을	행진/NNG + 을/JKO
펼쳤다.	펼치/VV + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
미국이나	미국/NNP + 이나/JC
일본에서는	일본/NNP + 에서/JKB + 는/JX
기업측에서	기업/NNG + 측/NNB + 에서/JKB
스스로	스스로/MAG
"주가가	"/SS + 주가/NNG + 가/JKS
지나치게	지나치/VA + 게/EC
고평가돼	고/XPN + 평가/NNG + 되/XSV + 어/EC
있다"(일본	있/VX + 다/EC + "/SS + (/SS + 일본/NNP
소니),	소니/NNP + )/SS + ,/SP
"앞으로	"/SS + 앞/NNG + 으로/JKB
고속성장이	고속/NNG + 성장/NNG + 이/JKS
힘들다"(미국	힘들/VA + 다/EC + "/SS + (/SS + 미국/NNP
야후)며	야후/NNP + )/SS + 며/EC
투자가들의	투자가/NNG + 들/XSN + 의/JKG
주의를	주의/NNG + 를/JKO
촉구하고	촉구/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

13면	13/SN + 면/NNG
45판	45/SN + 판/NNB
802자	802/SN + 자/NNG

코스닥시장이	코스닥/NNG + 시장/NNG + 이/JKS
하락	하락/NNG
3일만에	3/SN + 일/NNB + 만/NNB + 에/JKB
다시	다시/MAG
폭등세를	폭등세/NNG + 를/JKO
나타냈다.	나타내/VV + 었/EP + 다/EF + ./SF

29일	29/SN + 일/NNB
코스닥시장은	코스닥/NNG + 시장/NNG + 은/JX
미국	미국/NNP
뉴욕증시의	뉴욕/NNP + 증시/NNG + 의/JKG
주가안정	주가/NNG + 안정/NNG
소식이	소식/NNG + 이/JKS
호재로	호재/NNG + 로/JKB
작용,	작용/NNG + ,/SP
매수세가	매수세/NNG + 가/JKS
다시	다시/MAG
활발히	활발히/MAG
살아난	살아나/VV + ㄴ/ETM
데	데/NNB
힘입어	힘입/VV + 어/EC
코스닥지수가	코스닥/NNG + 지수/NNG + 가/JKS
전날대비	전날/NNG + 대비/NNG
11.21포인트	11/SN + ./SP + 21/SN + 포인트/NNG
오른	오르/VV + ㄴ/ETM
266.37로	26/SN + 6/SN + ./SP + 37/SN + 로/JKB
마감했다.	마감/NNG + 하/XSV + 았/EP + 다/EF + ./SF

상한가	상한/NNG + 가/XSN
종목은	종목/NNG + 은/JX
224개에	224/SN + 개/NNB + 에/JKB
달해	달하/VV + 아/EC
99년6월7일의	99/SN + 년/NNB + 6/SN + 월/NNB + 7/SN + 일/NNB + 의/JKG
최고	최고/NNG
기록(219개)을	기록/NNG + (/SS + 219/SN + 개/NNB + )/SS + 을/JKO
경신했으며,	경신/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
벤처지수도	벤처/NNG + 지수/NNG + 도/JX
749.09에	749/SN + ./SP + 09/SN + 에/JKB
